Tumor_Barcode	Battenberg	Type	File
NSLC-0200-T01	Battenberg_0	CCUBE	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_CCUBE.pdf
NSLC-0200-T01	Battenberg_0	Clustering_Cosine	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_Clustering_Cosine.pdf
NSLC-0200-T01	Battenberg_0	Clustering_Cosine_Cosmic	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_Clustering_Cosine_Cosmic.pdf
NSLC-0200-T01	Battenberg_0	Clustering_Profile_ALL	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_Clustering_Profile_ALL.pdf
NSLC-0200-T01	Battenberg_0	Clustering_Profile_C2	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_Clustering_Profile_C2.pdf
NSLC-0200-T01	Battenberg_0	Clustering_Profile_C3	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_Clustering_Profile_C3.pdf
NSLC-0200-T01	Battenberg_0	Clustering_Profile_C4	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_Clustering_Profile_C4.pdf
NSLC-0200-T01	Battenberg_0	DPClust	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_DPClust.pdf
NSLC-0200-T01	Battenberg_0	SCNA	./NSLC-0200-T01/Battenberg_0/NGSpurity/NSLC-0200-T01_SCNA.pdf
NSLC-0200-T01	Battenberg_0	germline	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01.germline.png
NSLC-0200-T01	Battenberg_0	tumour	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01.tumour.png
NSLC-0200-T01	Battenberg_0	BattenbergProfile_average	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_BattenbergProfile_average.png
NSLC-0200-T01	Battenberg_0	BattenbergProfile_subclones	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_BattenbergProfile_subclones.png
NSLC-0200-T01	Battenberg_0	alleleratio	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_alleleratio.png
NSLC-0200-T01	Battenberg_0	copynumberprofile	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_copynumberprofile.png
NSLC-0200-T01	Battenberg_0	coverage	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_coverage.png
NSLC-0200-T01	Battenberg_0	distance	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_distance.png
NSLC-0200-T01	Battenberg_0	nonroundedprofile	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_nonroundedprofile.png
NSLC-0200-T01	Battenberg_0	second_copynumberprofile	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_second_copynumberprofile.png
NSLC-0200-T01	Battenberg_0	second_distance	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_second_distance.png
NSLC-0200-T01	Battenberg_0	second_nonroundedprofile	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_second_nonroundedprofile.png
NSLC-0200-T01	Battenberg_0	totalcn_chrom_plot	./NSLC-0200-T01/Battenberg_0/NSLC-0200-T01_totalcn_chrom_plot.png
NSLC-0200-T01	Battenberg_0	ccube	./NSLC-0200-T01/Battenberg_0/ccube/NSLC-0200-T01_ccube.pdf
NSLC-0200-T01	Battenberg_0	2000iters_1000burnin_mutation_assignments	./NSLC-0200-T01/Battenberg_0/dpclust/NSLC-0200-T01_DPoutput_2000iters_1000burnin_seed123/NSLC-0200-T01_2000iters_1000burnin_mutation_assignments.png
NSLC-0200-T01	Battenberg_0	DirichletProcessplot_with_cluster_locations_2	./NSLC-0200-T01/Battenberg_0/dpclust/NSLC-0200-T01_DPoutput_2000iters_1000burnin_seed123/NSLC-0200-T01_DirichletProcessplot_with_cluster_locations_2.png
NSLC-0828-T01	Battenberg_0	CCUBE	./NSLC-0828-T01/Battenberg_0/NGSpurity/NSLC-0828-T01_CCUBE.pdf
NSLC-0828-T01	Battenberg_0	Clustering_Cosine	./NSLC-0828-T01/Battenberg_0/NGSpurity/NSLC-0828-T01_Clustering_Cosine.pdf
NSLC-0828-T01	Battenberg_0	Clustering_Cosine_Cosmic	./NSLC-0828-T01/Battenberg_0/NGSpurity/NSLC-0828-T01_Clustering_Cosine_Cosmic.pdf
NSLC-0828-T01	Battenberg_0	Clustering_Profile_ALL	./NSLC-0828-T01/Battenberg_0/NGSpurity/NSLC-0828-T01_Clustering_Profile_ALL.pdf
NSLC-0828-T01	Battenberg_0	Clustering_Profile_C1	./NSLC-0828-T01/Battenberg_0/NGSpurity/NSLC-0828-T01_Clustering_Profile_C1.pdf
NSLC-0828-T01	Battenberg_0	DPClust	./NSLC-0828-T01/Battenberg_0/NGSpurity/NSLC-0828-T01_DPClust.pdf
NSLC-0828-T01	Battenberg_0	SCNA	./NSLC-0828-T01/Battenberg_0/NGSpurity/NSLC-0828-T01_SCNA.pdf
NSLC-0828-T01	Battenberg_0	germline	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01.germline.png
NSLC-0828-T01	Battenberg_0	tumour	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01.tumour.png
NSLC-0828-T01	Battenberg_0	BattenbergProfile_average	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_BattenbergProfile_average.png
NSLC-0828-T01	Battenberg_0	BattenbergProfile_subclones	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_BattenbergProfile_subclones.png
NSLC-0828-T01	Battenberg_0	alleleratio	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_alleleratio.png
NSLC-0828-T01	Battenberg_0	copynumberprofile	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_copynumberprofile.png
NSLC-0828-T01	Battenberg_0	coverage	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_coverage.png
NSLC-0828-T01	Battenberg_0	distance	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_distance.png
NSLC-0828-T01	Battenberg_0	nonroundedprofile	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_nonroundedprofile.png
NSLC-0828-T01	Battenberg_0	second_copynumberprofile	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_second_copynumberprofile.png
NSLC-0828-T01	Battenberg_0	second_distance	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_second_distance.png
NSLC-0828-T01	Battenberg_0	second_nonroundedprofile	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_second_nonroundedprofile.png
NSLC-0828-T01	Battenberg_0	totalcn_chrom_plot	./NSLC-0828-T01/Battenberg_0/NSLC-0828-T01_totalcn_chrom_plot.png
NSLC-0828-T01	Battenberg_0	ccube	./NSLC-0828-T01/Battenberg_0/ccube/NSLC-0828-T01_ccube.pdf
NSLC-0828-T01	Battenberg_0	2000iters_1000burnin_mutation_assignments	./NSLC-0828-T01/Battenberg_0/dpclust/NSLC-0828-T01_DPoutput_2000iters_1000burnin_seed123/NSLC-0828-T01_2000iters_1000burnin_mutation_assignments.png
NSLC-0828-T01	Battenberg_0	DirichletProcessplot_with_cluster_locations_2	./NSLC-0828-T01/Battenberg_0/dpclust/NSLC-0828-T01_DPoutput_2000iters_1000burnin_seed123/NSLC-0828-T01_DirichletProcessplot_with_cluster_locations_2.png
