Tumor_Barcode	PGA	PGA_Subclonal	PGA_TETRA	PGA_LOH	PGA_Haploid_LOH	MCN	MCN_WGD	MCN_CHR	DPClust_Mutations	ASCAT_Purity	ASCAT_Ploidy	BB_Purity	BB_Ploidy	CCUBE_Purity	GOF	High_Purity	WGD_MP2_Number	WGD_MP2_Ratio	WGD_EVEN_Ratio	nWGD_CCF_MCluster	nWGD_CCF_MCluster_Detail	nWGD_Substantial_Segment	nWGD_Substantial_Segment_Detail	Super_Cluster_1	Super_Cluster_5	Super_Cluster_10	Homozoygous_Deletion	Homozoygous_Deletion2	Homozoygous_Deletion_Detail	DPCLUST_Detail
NALC-0001-T01	0.1732618798254185	0.03724823162050787	0.03487871776622518	0.024469996719283786	0	0.139976469897674	nWGD	2	61909	0.23	2.25683331486191	0.22678	2.14221401126704	0.3186947153284603	0.685991690689009	""	2314	0.33923941227312016	0.04049122230722836	0	""	0	""	0	0	0	0	N	""	C3|1|61732
NALC-0002-T01	0.003509190415925479	0.0021263387684224548	0	0.0020865059375379897	0.001789154110673074	0.0031859732698951942	nWGD	0	428	1	2.00306992213173	0.987	1.99701896674058	0.32747238541012796	0.0129562552242965	BB_Purity|ASCAT_Purity	0		0.001877233090926537	0	""	0	""	0	0	0	0	N	""	C3|0.11|413
NALC-0003-T01	0.9626164928064087	0	0.7454321336209793	0.08504999420468354	0.08116159761415837	0.9620257247989032	WGD	22	15437	0.13	3.89263150225277	0.13	3.94874148880302		0.997696650251178	""	0		0.8546799513600393	0	""	0	""	1	1	1	0	N	""	C1|1.3|15387
NALC-0004-T01	0.0034944915124228036	0.0028136871170681478	0	0.003245225452745619	1.1402017934874713e-5	2.630179477171073e-4	nWGD	0	221	1	1.9966420935507	0.961	2.00378374143242	0.819903291769903	0.0626870373287132	BB_Purity|ASCAT_Purity	0		2.3262609753196953e-7	0	""	0	""	0	0	0	0	N	""	C3|0.402|23; C4|0.089|164
NALC-0005-T01	0.8928202049638291	0.03377482328384057	0.18395788784502518	0.1893976378490252	0.1499497379023317	0.8844163224063851	WGD	21	98709	0.13	3.29878996827327	0.12363	3.43184779411402	0.18415273471457605	0.953737680727454	""	0		0.4124109672075341	0	""	3	chr3:12.63|chr5:18.19|chr6:31.53	0	0	0	0	Y	chr8:4:11.44	C5|1|98186
NALC-0006-T01	0.8074798726909403	0.03246701809518095	0.3384534242233932	0.27283905905167677	0.20210471307304045	0.7618746773658229	WGD	19	17368	0.11	2.96610808304947	0.1067	2.97305706106566	0.11988391057385897	0.937543973358008	""	352	0.16477272727272727	0.5793594152123699	0	""	2	chr15:13.84|chr19:11.52	0	0	0	0	N	""	C3|1.1|17169
NALC-0007-T01	0.18167949412764683	0.0012593040528208483	0	0.12844601408954812	3.2661700623109426e-5	0.054798278468528756	nWGD	1	22470	0.33	2.00733870044058	0.33	1.92540074647432	0.49756882867281926	0.715146761902694	""	0		0.003338844697380928	1	nMut = 330; Ratio = 0.01	0	""	0	0	0	0	N	""	C4|1.02|22023; C5|0.49|330
NALC-0008-T01	0.8122372300671106	0.23909773051519786	0.18642912676863407	0.12132191616241575	0.07463346792220098	0.8000745583605294	WGD	19	17102	0.27	3.5494354107528	0.2727	3.38574356006575	0.2816408405260548	0.586901319570322	""	549	0.48269581056466304	0.313070487414966	0	""	3	chr13:18.65|chr18:15.99|chrX:56.71	0	0	0	0	N	""	C3|1.1|16308
NALC-0009-T01	0.9051468833337676	0.024484958898547807	0.1641606413058653	0.2566833610233835	0.16934144244277002	0.8765865338557549	WGD	19	17761	0.18	3.06689184633759	0.17622	2.99366190215652	0.17440285561154645	0.958022201420548	""	0		0.3850953081374217	1	nMut = 218; Ratio = 0.01	1	chr7:72.4	1	0	0	0	N	""	C3|1.33|365; C4|0.98|17111; C5|0.50|218
NALC-0010-T01	0.34129785620878694	0.22672605211515917	0	0.2893299001958507	0.04112445484130617	0.10396773000386607	nWGD	1	1651	0.16	1.69472435893355	0.15536	1.79393403325486	0.30873806443765817	0.166559734851238	""	0		0.048524033336941275	0	""	7	chr1:39.42|chr2:94.51|chr2:147.37|chr3:198.08|chr4:87.12|chr4:13.15|chr10:133.51	0	0	0	0	N	""	C1|1.1|1640
NALC-0011-T01	0.8625743510998843	0.011740421975097684	0.22203973696485554	0.23840601007333248	0.19823924027916368	0.8543315480721335	WGD	20	25769	0.32	3.31944929378578	0.32672	3.14570917118832	0.5202083762397208	0.982076409658369	""	99	0.3939393939393939	0.48752573485424633	0	""	0	""	0	0	0	0	N	""	C2|1|25529
NALC-0012-T01	0.7700218815512538	0.06043399359000128	0.022306790436446736	0.4471592916015599	0.3618717751517365	0.7528260731125971	WGD	17	30250	0.11	2.65444569115363	0.10989	2.66419739355929	0.18466476434534768	0.920604630269288	""	371	0.42587601078167114	0.3848230149113011	0	""	2	chr7:98.32|chrX:29.08	1	1	1	0	N	""	C2|1.2|30185
NALC-0013-T01	0.5298613424188184	0.216186811284733	0.027735641549750046	0.3252571819749628	0.08524050885956308	0.3182869890668531	nWGD	8	27079	0.16	2.20903653997482	0.15888	2.11593505371351	0.19038116417631415	0.464125522621308	""	0		0.12402310859249009	0	""	4	chr3:111.13|chr9:12.03|chr17:11.67|chrX:26.22	1	0	0	0	N	chrX:2:9.28	C2|1.47|616; C3|1.07|22473; C5|0.64|3864
NALC-0014-T01	0.2838172983575241	0.15390830969027644	0	0.19092383523051173	0.03387425475279979	0.13993825774399016	nWGD	2	20140	0.19	1.8505479618221	0.18126	1.8299279695215	0.260493303763439	0.269073623260431	""	0		0.04000057276371494	0	""	4	chr1:105.63|chr2:242.11|chr3:23.19|chr15:84.82	0	0	0	0	N	""	C1|1.1|20096
NALC-0015-T01	0.9503346412588326	0.14358995095514693	0.2617138765696132	0.3045062051337172	0.2180731708974959	0.947161805711211	WGD	22	8377	0.15	3.41863634537565	0.1536	3.35836931548918		0.809510438967184	""	680	0.3897058823529412	0.5735144779005547	0	""	1	chr2:135.5	1	0	0	0	N	chr9:1:4.85	C1|1.89|177; C2|0.99|8142
