Battenberg	Tumor_Barcode	PGA	PGA_Subclonal	PGA_TETRA	PGA_LOH	PGA_Haploid_LOH	MCN	MCN_WGD	MCN_CHR	DPClust_Mutations	ASCAT_Purity	ASCAT_Ploidy	BB_Purity	BB_Ploidy	CCUBE_Purity	GOF	High_Purity	WGD_MP2_Number	WGD_MP2_Ratio	WGD_EVEN_Ratio	nWGD_CCF_MCluster	nWGD_CCF_MCluster_Detail	nWGD_Substantial_Segment	nWGD_Substantial_Segment_Detail	Super_Cluster_1	Super_Cluster_5	Super_Cluster_10	Homozoygous_Deletion	Homozoygous_Deletion2	Homozoygous_Deletion_Detail	DPCLUST_Detail	Cluster_ChrEnrich	Cluster_Signatures
Battenberg_0	17MH0013_P1	0.3783955528194774	0.08593928792914018	0.015534601144448452	0.0581104771124686	0.05394357204734559	0.2891859220379223	nWGD	5	12250	0.58	2.26471412647834	0.59334	2.21412026499998	0.6120216448705477	0.614933884655683		0		0.02192408881382545	0		1	chr18:17.08	0	0	0	0	N	chr9:1:0.35	C3|0.98(0.77-1.01)|7575; C4|0.77(0.62-0.98)|1242; C5|0.66(0.38-0.80)|456; C6|0.36(0.17-0.62)|845; C7|0.17(0.16-0.32)|2073	C3|chr5|0.10; C4|chr5|0.11; C5|chrX|0.14; C6|chr4|0.09; C7|chr4|0.09	C3|SBS2|0.79; C4|SBS13|0.71; C5|SBS2|0.74; C6|SBS2|0.89; C7|SBS2|0.86; ALL|SBS2|0.80
Battenberg_0	TCGA-38-4628-01A	0.8776502143552813	0.5703617492463485	0.0738992990476517	0.5384040097384094	0.13360757762038275	0.7611933142482699	WGD	17	15277	0.63	2.66807372786609	0.62622	2.56651740431921	0.5778290074024854	0.327647629291344		1453	0.07364074328974536	0.42877833716160496	1	nMut = 2130; Ratio = 0.14	16	chr2:136.34|chr2:55.22|chr5:37.23|chr9:20.77|chr9:86.49|chr9:16.51|chr11:25.28|chr11:37.82|chr12:20.43|chr15:19.55|chr17:56.56|chr18:11.22|chr18:10.27|chr18:10.65|chr19:16.01|chr22:26.22	0	0	0	0	N	chr22:1:1.01|chr9:1:6.67	C1|1.00(0.71-1.02)|10195; C2|0.73(0.45-1.01)|2191; C3|0.46(0.27-0.74)|2130; C4|0.27(0.24-0.48)|711	C1|chr2|0.11; C2|chr6|0.12; C3|chr1|0.14; C4|chr6|0.08	C1|SBS40|0.87; C2|SBS40|0.86; C3|SBS40|0.88; C4|SBS40|0.82; ALL|SBS40|0.87
Battenberg_0	LU-6_tumor	0.8252485131751293	0.11514542094248759	0.11063345571122042	0.032926462341882824	0.020075608859419006	0.796074147608747	WGD	19	2305	0.16	3.11922760360416	0.15296	3.13224829423954	0.18716825549197202	0.817440075266369		31	0.12903225806451613	0.1356908074911253	0		2	chr13:12.86|chr15:11.96	1	1	1	0	N		C1|1.19(1.18-1.21)|2282	C1|chr2|0.08	C1|SBS5|0.89; ALL|SBS5|0.89
Battenberg_0	TCGA-MP-A4TA-01A	0.49557196084597055	0.269158349755948	0	0.4185376423255775	0.3858649181022002	0.11522938838986813	nWGD	2	74858	0.28	1.79682584590229	0.29148	1.68286158646899	0.4357116310042797	0.288063847353454		0		0.03297877506705578	0		5	chr1:120.75|chr2:96.28|chr5:17.02|chr14:17.9|chr16:43.69	0	0	0	2	Y	chr12:1:0.25|chr2:1:0.99|chr5:1:7.5|chrX:2:93.52	C3|1.05(1.04-1.05)|74375	C3|chr2|0.10	C3|SBS4|0.91; ALL|SBS4|0.91
Battenberg_0	TCGA-MP-A5C7-01A	0.2094063245172989	0.0021425668488096253	0	0.11907919070206796	0.11726075887508769	0.09714677222351745	nWGD	1	7928	0.86	2.01373954862852	0.86344	1.94309994756762	0.8987138330824858	0.867325422645315		0		0.002027176239312909	0		0		0	0	0	0	N		C2|0.98(0.87-1.02)|7132; C4|0.41(0.19-0.75)|157; C5|0.19(0.18-0.37)|502	C2|chrX|0.10; C4|chr21|0.12; C5|chr2|0.09	C2|SBS40|0.90; C4|SBS40|0.69; C5|SBS5|0.73; ALL|SBS40|0.90
Battenberg_0	LU-FF58_tumor	0.3786719209256822	0.11366814399898603	0.02679470616294164	0.2286706045089878	0.14904777605192515	0.22962414487375704	nWGD	3	633	0.15	1.91419561350352	0.1437	1.95329603323949	0.47922876755020716	0.45404814796055		51	0.21568627450980393	0.11026382884231847	0		7	chr1:120.8|chr6:13.71|chr12:51.99|chr12:81.15|chr15:84.82|chr18:15.66|chr20:64.07	1	1	1	0	N		C1|1.82(1.76-1.87)|631	C1|chr2|0.13	C1|SBS40|0.83; ALL|SBS40|0.83
Battenberg_0	TCGA-86-7955-01A	0.8938070593480542	0.1416839305589766	0.16364269458637176	0.4539427878605485	0.016162453704607116	0.8776348261703634	WGD	19	57528	0.74	3.22735074494547	0.73186	3.05016265798169	0.8130706325315109	0.807221614603086		3930	0.6463104325699746	0.4799399036095232	0		1	chr17:21.55	0	0	0	0	N	chr8:1:0.03	C3|1.00(0.97-1.03)|55018; C5|0.39(0.27-1.00)|2033	C3|chr2|0.12; C5|chr2|0.11	C3|SBS4|0.90; C5|SBS40|0.92; ALL|SBS4|0.89
Battenberg_0	TCGA-55-8091-01A	0.498312981762658	0.17563991084384545	0	0.2601419328918185	0.1649856295276076	0.32415928021898277	nWGD	6	3392	0.57	2.00319559867022	0.57456	1.96133313143516	0.6003881366031649	0.462027107008107		0		0.09996746099533008	0		1	chr17:56.57	0	0	0	1	Y	chr17:1:22.53|chr6:1:0.7|chr7:1:0.39|chr9:3:5.44	C1|0.98(0.72-0.99)|2576; C2|0.72(0.30-0.98)|54; C3|0.29(0.28-0.66)|742	C1|chr4|0.11; C2|chr5|0.22; C3|chr4|0.11	C1|SBS5|0.83; C2|SBS5|0.64; C3|SBS6|0.78; ALL|SBS5|0.81
Battenberg_0	16MH0062_M1	0.8142983230045052	0.01156166205326969	0.20805588081354762	0.09689287218401688	1.9044129048638466e-4	0.8141078817140188	WGD	18	68684	0.38	3.18532000738799	0.36746	3.21358747830009	0.4816123141165548	0.983204500173836		0		0.3207489571103417	0		0		0	0	0	0	N		C3|1.01(0.89-1.06)|67398; C5|0.37(0.36-0.99)|731	C3|chr2|0.10; C5|chr2|0.09	C3|SBS4|0.95; C5|SBS40|0.79; ALL|SBS4|0.95
Battenberg_0	LU-FF34_tumor	0.4436960141546666	0.014820301719478533	0.034934382549519916	0.23586340800552802	0.04429062803118752	0.3994053861234791	nWGD	7	1160	0.1	2.2873553984528	0.1019	2.25955408414933	0.33665230511248645	0.96654714132954		41	0.3170731707317073	0.23389058176263186	0		1	chr7:42.61	1	1	1	0	N		C1|1.62(1.58-1.66)|1152	C1|chr4|0.11	C1|SBS40|0.88; ALL|SBS40|0.88
